# Program:featureCounts v2.1.1; Command:"featureCounts" "-g" "gene_id" "-a" "clean_anno.gtf" "-o" "fcounts.txt" "SRR941816.bam" "SRR941817.bam" "SRR941818.bam" "SRR941819.bam" 
Geneid	SRR941816.bam	SRR941817.bam	SRR941818.bam	SRR941819.bam
YCL037C	18	21	25	73
YCL036W	36	77	303	1051
YCL035C	7389	8230	193	794
YCL034W	1500	1704	74	404
YCL033C	943	996	15	78
YCL032W	605	690	43	188
YCL031C	609	508	455	1737
YCL030C	671	1295	346	1166
YCL029C	119	252	68	221
YCL028W	1602	1689	118	393
YCL027W	52	54	6	26
YCL026C-B	23	133	146	480
YCL026C-A	26	27	38	88
YCL025C	3445	5368	1546	3754
YCL024W	30	104	11	9
YNCC0001C	0	0	0	0
YCL021W-A	5	9	1	4
YCL020W	0	0	0	0
YCL019W	0	1	0	0
YNCC0002W	0	0	0	0
YCL018W	482	631	1029	2080
YCL017C	2205	2003	219	660
YCL016C	125	177	30	150
YCL014W	234	283	16	82
YCL012C	965	597	24	105
YCL011C	1211	1439	423	1574
YCL010C	279	269	41	174
YCL009C	2893	2464	255	1029
YCL008C	140	229	20	125
YCL005W-A	536	815	177	723
YNCC0003C	25	67	13	45
YCL005W	92	144	55	232
YCL004W	271	329	20	82
YCL002C	136	197	75	299
YCL001W	196	380	55	270
YCL001W-A	31	12	5	9
YCL001W-B	35	27	5	10
YCR001W	5	10	2	12
YCR002C	543	1221	98	456
YCR003W	21	125	23	97
YCR004C	4049	4021	59	230
YCR005C	21078	6943	265	802
YCR006C	99	46	4	22
YNCC0004C	7	2	3	1
YCR007C	515	290	29	143
YNCC0005W	0	0	0	0
YCR008W	842	1011	325	1197
YCR009C	2471	3436	142	523
YCR010C	12725	2109	96	46
YCR011C	863	955	20	177
YCR012W	71086	89575	2025	8619
YCR014C	146	100	50	188
YCR015C	105	199	32	89
YNCC0006C	111	244	19	73
YNCC0007C	0	0	0	0
YCR016W	68	168	288	1127
YCR017C	1033	1029	148	468
YCR018C	9	10	6	55
YNCC0008W	0	0	0	1
YNCC0009C	0	0	0	1
YCR019W	147	247	64	201
YCR020C	106	126	24	140
YCR020C-A	152	154	29	110
YCR020W-B	72	138	76	311
YCR021C	195864	187260	1976	5077
YCR022C	1	5	1	5
YCR023C	1852	3032	86	337
YCR024C	76	123	42	105
YCR024C-B	1185	1565	721	2589
YCR024C-A	934	1166	571	2115
YCR025C	7	12	4	29
YCR026C	1131	903	195	498
YCR027C	69	192	62	161
YNCC0010C	0	0	0	0
YCR028C	232	248	82	350
YCR028C-A	1965	2609	142	693
YCR030C	1197	1280	52	238
YNCC0011W	1	1	8	19
YCR031C	2079	4019	3054	12216
YNCC0012C	4	28	0	4
YCR032W	478	447	55	196
YCR033W	1300	1500	215	655
YCR034W	102	372	91	380
YCR035C	202	280	310	968
YCR036W	456	540	87	315
YCR037C	1223	1064	131	472
YCR038C	85	96	17	69
YCR039C	0	0	0	0
YCR040W	0	0	0	0
YCR041W	0	0	0	0
YCR042C	306	323	95	331
YNCC0015W	2	1	2	2
YCR043C	35	100	82	338
YCR044C	37	83	37	153
YCR045C	48	103	12	70
YCR046C	143	628	37	178
YCR047C	466	486	443	1502
YCR048W	158	102	119	350
YCR050C	1	0	0	1
YCR051W	566	462	209	834
YCR052W	243	381	115	418
YCR053W	645	1079	596	2067
YCR054C	42	48	61	266
YCR057C	123	237	658	2044
YCR059C	333	385	104	281
YCR060W	228	233	34	91
YCR061W	214	210	21	54
YNCC0013W	0	0	0	0
YCR063W	17	19	24	52
YCR065W	19	49	28	147
YCR066W	69	89	26	88
YCR067C	141	233	60	217
YCR068W	973	489	96	177
YCR069W	1966	1330	87	334
YCR071C	326	632	29	147
YCR072C	32	46	447	1559
YCR073C	164	161	69	216
YCR073W-A	1287	1154	53	265
YCR075C	107	199	5	31
YCR075W-A	38	66	6	35
YCR076C	845	639	52	159
YCR077C	756	882	148	487
YCR079W	896	699	58	210
YCR081W	241	235	24	76
