# Program:featureCounts v2.1.1; Command:"featureCounts" "-g" "gene_id" "-a" "clean_anno.gtf" "-o" "fcounts.txt" "SRR941816.bam" "SRR941817.bam" "SRR941818.bam" "SRR941819.bam" 
Geneid	SRR941816.bam	SRR941817.bam	SRR941818.bam	SRR941819.bam
YER189W	1	2	0	0
YER190W	0	0	0	0
YER190C-B	0	0	0	0
YFL068W	0	1	0	0
YFL067W	12	15	0	0
YFL066C	0	0	0	0
YFL065C	0	0	0	0
YFL064C	1	1	1	0
YFL062W	313	289	15	50
YFL061W	0	0	0	0
YFL060C	0	2	0	0
YFL059W	5	27	0	3
YFL058W	15	11	0	3
YFL056C	3	5	0	3
YFL055W	0	0	0	0
YFL054C	1	0	0	0
YFL053W	0	0	0	0
YFL052W	0	1	0	0
YFL051C	64	74	1	6
YFL050C	243	423	68	218
YFL049W	431	339	79	243
YFL048C	373	360	126	529
YFL047W	44	72	98	322
YFL046W	240	344	41	187
YFL045C	1027	3123	597	2419
YFL044C	1052	1059	25	70
YFL042C	1677	1574	34	100
YFL041W-A	55	61	1	6
YFL041W	813	1070	81	216
YFL040W	61	92	15	55
YFL039C	10364	18557	804	3229
YFL038C	4570	4648	389	1647
YFL037W	1256	3115	143	899
YNCF0001C	28	117	3	17
YFL036W	482	665	167	482
YFL034C-B	38	80	70	307
YFL034C-A	47	138	665	2705
YFL034W	175	286	99	319
YFL033C	118	147	71	278
YFL031W	2020	3294	291	1155
YFL030W	4586	4617	117	408
YFL029C	287	445	14	114
YFL028C	304	427	77	318
YFL027C	70	166	28	92
YFL026W	82	48	11	36
YFL025C	121	119	46	171
YFL024C	598	511	169	516
YFL023W	351	269	266	737
YFL022C	701	1218	610	1935
YFL021W	447	516	245	388
YFL020C	29	13	3	10
YFL019C	61	28	1	3
YNCF0002W	0	0	0	0
YFL018C	5146	6051	145	720
YFL017W-A	101	123	33	119
YFL017C	217	292	30	144
YFL016C	3394	6612	163	628
YFL015C	10	17	5	11
YFL014W	79439	38470	2625	7645
YFL013C	1093	1289	92	322
YFL012W	0	0	0	1
YFL011W	11	6	0	1
YFL010W-A	34	51	16	39
YFL010C	154	314	124	423
YFL009W	392	331	88	310
YFL008W	151	664	8	61
YFL007W	1965	1278	131	448
YFL005W	2201	2043	209	728
YNCF0003C	172	210	16	75
YFL004W	1318	1434	132	507
YFL003C	83	61	17	56
YNCF0004C	0	0	0	0
YFL002W-B	0	0	0	0
YFL002W-A	0	0	0	0
YFL002C	416	491	258	716
YFL001W	82	196	176	564
YFR001W	563	667	309	1148
YFR002W	569	660	249	837
YFR003C	367	622	6	53
YFR004W	2040	2730	163	621
YFR005C	50	104	58	320
YFR006W	1728	1497	171	630
YNCF0005C	0	0	0	0
YFR007W	101	150	21	108
YFR008W	302	273	13	79
YNCF0006W	0	0	0	0
YFR009W	613	1016	346	1284
YFR010W	1989	2966	86	491
YFR011C	597	1716	59	295
YNCF0007W	0	0	0	0
YFR012W	14	3	2	1
YFR012W-A	1	0	0	3
YFR013W	207	373	68	238
YFR014C	1132	1372	36	119
YFR015C	2646	2956	29	105
YFR016C	1402	1205	41	156
YNCF0008C	0	0	0	0
YFR017C	1756	1436	23	52
YFR018C	274	381	17	55
YFR019W	513	511	11	63
YNCF0009C	0	0	0	0
YFR020W	81	93	24	106
YFR021W	144	198	35	131
YFR022W	125	99	27	113
YNCF0010C	0	0	0	0
YFR023W	16	9	0	0
YFR024C-A	1866	2426	49	196
YFR025C	161	400	37	193
YNCF0011C	0	0	0	0
YFR026C	7	24	0	4
YFR027W	9	35	3	13
YFR028C	103	232	168	680
YNCF0012C	0	0	0	1
YFR029W	413	210	94	383
YFR030W	248	228	185	658
YFR031C	173	295	37	160
YFR031C-A	768	2884	2609	9467
YNCF0013W	1	1	0	3
YFR032C	0	1	17	48
YFR032C-A	560	1321	1122	4370
YFR032C-B	24	34	27	97
YFR033C	3816	4476	226	786
YFR034C	207	221	111	359
YFR035C	4	8	1	15
YFR035W-A	23	57	13	53
YNCF0014C	0	0	0	0
YFR036W	94	91	73	232
YFR037C	734	1196	288	1042
YFR038W	337	434	74	270
YFR039C	690	575	99	369
YFR040W	2547	2181	165	488
YFR041C	264	617	29	168
YFR042W	85	177	22	118
YFR043C	280	344	27	123
YFR044C	1436	1980	155	781
YFR045W	164	340	22	108
YFR046C	162	293	12	77
YFR047C	1020	1244	30	132
YFR048W	227	352	71	294
YFR049W	1929	2046	29	109
YFR050C	2169	2935	117	621
YFR051C	170	610	169	639
YFR052W	1590	1698	73	359
YFR053C	4562	16512	53	507
YFR054C	10	3	0	0
YFR055W	31	74	41	143
YFR057W	16	15	1	4
YGL263W	222	260	54	164
YGL262W	143	132	10	25
YGL261C	5	6	0	4
YGL260W	3	3	0	1
YGL259W	27	34	2	6
YGL258W-A	14	10	0	4
YGL258W	20	11	1	11
YGL257C	229	266	40	246
YGL256W	253	327	106	420
YNCG0047C	6	4	1	1
YGL255W	1879	2974	2479	10658
YGL254W	267	150	47	90
YGL253W	98	1446	365	1526
YGL252C	1339	1352	155	627
YGL251C	228	143	13	67
YGL250W	383	473	11	63
YGL249W	12	3	1	4
YNCG0001C	0	0	0	0
YGL248W	724	679	46	211
YGL247W	47	59	32	163
YGL246C	142	284	275	873
YGL245W	1852	3485	360	1522
YGL244W	461	617	235	801
YGL243W	141	194	54	187
YGL242C	127	95	4	44
YGL241W	91	162	31	125
YGL240W	76	90	15	24
YGL238W	514	655	238	799
YGL237C	512	637	48	132
YGL236C	29	126	45	122
YGL235W	0	0	0	2
YGL234W	415	957	992	2418
YGL233W	528	611	55	236
YGL232W	242	361	125	584
YGL231C	972	1122	127	529
YGL230C	32	22	6	18
YGL229C	23	42	1	10
YGL228W	2211	1616	180	743
YGL227W	1672	1409	15	61
YGL226C-A	401	674	26	117
YGL226W	85	157	8	21
YNCG0002C	0	0	3	7
YGL225W	33	84	245	947
YGL224C	133	172	58	276
YGL223C	369	486	49	219
YGL222C	384	403	19	105
YGL221C	1015	1310	192	785
YGL220W	465	387	95	336
YGL219C	2001	2061	175	558
YGL216W	120	151	54	248
YGL215W	1361	1014	811	2802
YGL213C	60	214	108	556
YGL212W	186	204	28	115
YGL211W	256	278	377	1178
YGL210W	237	286	73	305
YGL209W	234	169	113	459
YGL208W	1713	2021	50	143
YGL207W	894	1639	93	512
YGL206C	1149	1808	61	314
YGL205W	15495	5682	155	144
YNCG0003C	20	5	2	1
YGL204C	22	26	12	37
YGL203C	324	253	166	487
YNCG0004W	0	0	1	0
YGL202W	343	1124	331	973
YGL201C	129	202	162	541
YNCG0005W	0	0	0	0
YGL200C	662	2361	108	477
YGL198W	269	491	48	205
YGL197W	1301	930	60	201
YGL196W	223	686	28	216
YGL195W	641	859	267	852
YGL194C-A	42	35	11	30
YGL194C	47	121	15	65
YNCG0006C	0	3	0	0
YGL193C	0	0	0	0
YGL192W	0	0	0	0
YGL191W	18285	12433	384	1064
YGL190C	728	508	136	640
YGL189C	2600	5782	3250	13522
YGL188C-A	12	19	39	133
YGL187C	7800	7216	163	755
YGL186C	141	184	120	383
YGL185C	297	351	52	163
YGL184C	189	88	35	80
YGL183C	4	3	2	0
YGL181W	1075	1077	109	399
YGL180W	470	155	24	76
YGL179C	15	67	25	107
YGL178W	725	696	160	445
YGL176C	30	59	58	173
YGL175C	22	29	13	43
YGL174W	96	182	46	120
YGL173C	1785	2074	103	426
YGL172W	191	384	155	567
YGL171W	130	204	332	927
YGL170C	9	23	16	72
YNCG0007C	0	0	0	0
YGL169W	137	310	289	996
YGL168W	19	12	4	35
YGL167C	1170	549	147	607
YGL166W	773	719	84	316
YGL164C	536	523	41	117
YGL163C	253	299	230	513
YGL162W	7	17	68	198
YGL161C	736	971	22	123
YGL160W	813	584	46	216
YGL159W	162	161	31	122
YNCG0008W	0	1	0	2
YGL158W	6	0	23	59
YGL157W	9	29	150	530
YGL156W	9989	5216	103	170
YGL155W	202	271	63	203
YGL154C	321	201	23	85
YGL153W	645	569	56	237
YGL151W	270	328	74	321
YGL150C	1032	1269	139	446
YGL149W	35	26	4	6
YGL148W	185	692	338	1051
YGL147C	119	759	1923	7450
YGL146C	313	212	11	47
YGL145W	231	217	107	361
YGL144C	95	38	67	244
YGL143C	60	274	24	80
YGL142C	183	112	73	178
YGL141W	291	295	67	156
YGL140C	594	674	120	406
YGL139W	399	454	103	308
YGL138C	0	0	0	1
YGL137W	923	2069	126	576
YGL136C	444	581	100	389
YGL135W	1075	1923	1837	7282
YGL134W	728	632	115	353
YGL133W	610	652	222	824
YGL131C	639	457	48	121
YGL130W	273	401	135	414
YGL129C	318	683	81	294
YGL128C	320	243	21	128
YGL127C	194	206	86	289
YGL126W	107	269	64	304
YGL125W	492	468	92	351
YGL124C	221	257	47	219
YGL123W	1574	4375	7199	26540
YGL122C	2721	2370	383	973
YGL121C	4176	1683	51	89
YGL120C	76	176	866	2792
YGL119W	132	298	92	423
YNCG0009C	0	0	0	0
YGL118C	4	12	1	2
YGL117W	188	239	38	102
YGL116W	409	549	6	49
YGL115W	365	913	89	347
YGL114W	482	472	102	385
YGL113W	45	63	45	195
YGL112C	422	565	162	526
YGL111W	448	633	419	1613
YGL110C	158	264	58	287
YGL108C	203	312	29	113
YGL107C	59	169	64	276
YGL106W	678	946	181	811
YGL105W	2173	3492	687	3094
YGL104C	230	230	44	215
YGL103W	1493	4994	5081	21249
YGL101W	82	167	169	491
YGL100W	721	865	153	593
YGL099W	222	224	522	1535
YNCG0010W	117	115	5	30
YGL098W	576	555	60	195
YNCG0011W	0	0	0	0
YGL097W	121	355	232	726
YGL096W	1409	658	30	48
YNCG0012W	0	0	6	11
YGL095C	618	669	74	217
YGL094C	286	358	37	147
YGL093W	211	284	14	58
YGL092W	229	524	109	382
YGL091C	544	638	111	358
YGL090W	280	313	61	165
YGL089C	15	27	7	24
YGL088W	0	0	0	0
YNCG0013W	4	11	0	4
YGL087C	1255	1132	137	486
YGL086W	494	378	119	396
YGL085W	121	164	70	269
YGL084C	700	933	57	173
YGL083W	261	295	70	184
YGL082W	381	826	42	181
YGL081W	53	23	4	17
YGL080W	2008	1515	65	249
YGL079W	143	205	54	184
YGL078C	421	699	1212	3447
YGL077C	1659	1386	291	1121
YGL076C	920	2390	2031	7741
YNCG0014C	2	11	21	53
YNCG0015C	2	1	4	3
YGL075C	19	61	6	35
YGL073W	1292	1238	141	483
YGL071W	175	194	96	333
YGL070C	46	156	142	487
YGL068W	136	1183	76	399
YGL067W	63	152	61	308
YGL066W	448	457	70	253
YGL065C	176	321	37	127
YGL064C	28	33	41	159
YGL063W	19	54	5	36
YGL062W	9568	5827	115	367
YGL061C	35	128	11	67
YGL060W	127	194	5	42
YGL059W	1310	768	12	64
YGL058W	246	498	125	443
YGL057C	141	175	55	215
YGL056C	1318	445	258	781
YGL055W	56020	36248	993	3102
YGL054C	564	707	256	1013
YNCG0016C	0	0	0	0
YGL053W	13	18	0	10
YGL051W	17	10	4	4
YNCG0017W	0	0	0	1
YGL050W	132	174	137	503
YGL049C	303	607	163	476
YGL048C	3910	5075	209	835
YGL047W	533	581	3	33
YNCG0018C	0	4	0	0
YGL045W	1465	1735	100	339
YGL044C	169	167	88	312
YGL043W	559	797	193	716
YGL041C-B	3	5	0	17
YGL041W-A	367	505	64	216
YGL040C	626	1063	148	514
YNCG0019W	0	0	0	0
YGL039W	57	97	14	60
YGL038C	331	543	16	53
YGL037C	5818	9663	136	706
YGL036W	625	320	196	600
YGL035C	34	74	453	1279
YGL034C	2	2	0	0
YGL033W	5	17	1	4
YGL032C	5	20	1	1
YGL031C	1541	4098	2736	10783
YGL030W	916	3872	3966	14901
YGL029W	97	45	498	1814
YNCG0020C	0	0	0	0
YGL028C	129	177	15	21
YGL027C	158	397	19	81
YGL026C	557	929	349	1245
YGL025C	455	534	115	352
YGL023C	600	601	160	631
YGL022W	297	562	114	518
YGL021W	556	344	13	102
YGL020C	346	468	73	315
YGL019W	748	1261	144	538
YGL018C	216	356	44	163
YGL017W	187	197	35	133
YGL016W	89	111	73	284
YGL015C	3	2	1	6
YGL014W	774	719	330	963
YGL013C	505	493	133	342
YGL012W	231	878	215	820
YGL011C	2649	3715	135	716
YGL010W	359	300	21	71
YGL009C	647	377	4243	7400
YGL008C	6190	18276	7170	23463
YGL007C-A	10	13	1	1
YGL007W	103	33	1	5
YGL006W-A	32	28	4	3
YGL006W	8671	6778	232	682
YGL005C	1613	1459	62	288
YGL004C	509	831	20	133
YGL003C	574	472	96	310
YGL002W	538	522	43	150
YGL001C	234	731	107	423
YGR001C	355	523	233	842
YGR002C	595	696	119	372
YGR003W	534	331	148	456
YGR004W	149	129	51	174
YGR005C	1152	873	144	523
YGR006W	118	112	20	69
YGR007W	376	719	110	511
YGR008C	10317	9079	100	182
YGR009C	664	815	121	418
YGR010W	491	414	69	244
YGR012W	316	464	69	241
YGR013W	495	501	70	259
YGR014W	154	381	68	282
YGR015C	87	147	22	97
YGR016W	77	80	13	46
YGR016C-A	4	7	5	19
YGR017W	184	397	44	237
YGR018C	3	7	3	5
YGR019W	2301	2549	105	360
YGR020C	223	551	340	1107
YGR021W	93	314	44	140
YGR023W	1982	1941	156	414
YNCG0021W	0	0	0	1
YGR024C	638	473	201	676
YGR025W	92	77	5	32
YGR026W	827	827	38	329
YGR027C	1763	4289	2738	10564
YGR027W-A	0	0	0	0
YGR027W-B	0	0	0	0
YNCG0022W	0	0	0	0
YGR028W	487	810	124	456
YGR029W	432	583	73	269
YNCG0023C	1	0	1	8
YNCG0024W	24	14	5	43
YGR030C	217	191	54	217
YGR031W	363	522	26	87
YGR031C-A	0	0	0	0
YGR032W	13540	7315	290	756
YGR033C	935	837	251	814
YGR034W	484	1756	2797	10617
YGR035C	27	24	185	243
YGR035W-A	10	22	5	26
YGR036C	55	74	19	110
YGR037C	925	2097	49	337
YGR038W	112	231	61	196
YNCG0025C	0	0	0	0
YGR038C-B	1	0	0	0
YGR038C-A	0	0	0	0
YGR039W	13	12	1	10
YGR040W	85	151	19	86
YGR041W	129	104	6	33
YGR042W	328	338	39	115
YGR043C	7327	1184	665	1041
YGR044C	91	78	5	7
YGR045C	9	4	0	1
YGR046W	1138	633	127	467
YGR047C	244	316	36	144
YGR048W	396	596	56	288
YGR049W	507	293	832	3452
YGR050C	130	74	14	50
YGR052W	4876	1486	528	2117
YGR053C	71	97	2	14
YGR054W	96	246	549	1724
YGR055W	477	512	1055	3020
YGR056W	193	425	145	530
YGR057C	630	462	100	367
YGR058W	205	312	80	328
YGR059W	38	32	7	18
YNCG0026W	4	4	2	8
YGR060W	1726	3385	1079	4248
YGR061C	1609	2246	665	1612
YGR062C	36	101	29	95
YGR063C	71	111	99	252
YGR065C	75	100	120	332
YGR066C	50	31	5	17
YGR067C	2108	696	14	14
YGR068C	88	55	133	332
YGR070W	1431	1030	21	75
YGR071C	191	192	98	314
YGR072W	661	652	149	655
YGR074W	99	169	108	454
YGR075C	74	131	59	203
YGR076C	131	386	33	137
YGR077C	242	271	61	268
YGR078C	86	287	177	705
YGR079W	119	125	898	3563
YGR080W	489	686	75	357
YGR081C	76	77	264	975
YGR082W	158	490	127	382
YGR083C	388	706	488	1628
YGR084C	37	229	93	338
YGR085C	302	802	1139	4645
YGR086C	12014	10240	583	3336
YNCG0048W	10	11	0	1
YGR087C	562	156	16	22
YGR088W	10370	3121	129	414
YGR089W	211	206	263	794
YNCG0049W	81	90	5	23
YNCG0027W	0	0	0	1
YGR090W	109	136	422	1323
YGR091W	93	164	80	329
YGR092W	211	189	27	128
YGR093W	254	333	246	726
YGR094W	1607	2858	1094	3419
YGR095C	167	186	235	773
YGR096W	80	77	22	62
YGR097W	540	328	114	241
YGR098C	50	111	17	67
YGR099W	141	330	44	127
YGR100W	596	777	38	165
YGR101W	271	437	43	108
YGR102C	1329	801	134	450
YGR103W	326	801	1613	5294
YGR104C	146	205	69	282
YGR105W	299	410	71	361
YGR106C	992	1554	320	1318
YNCG0028W	1	1	0	2
YNCG0029C	1	0	0	1
YGR108W	143	169	2	53
YGR109C	1	3	0	4
YNCG0030C	1	0	0	0
YGR109W-A	0	0	0	0
YGR109W-B	63	68	10	46
YGR110W	2432	820	44	107
YGR111W	2142	1941	71	245
YGR112W	251	433	10	48
YGR113W	221	345	31	155
YGR116W	1843	2002	260	824
YGR117C	116	129	91	396
YGR118W	1241	2932	2554	10545
YGR119C	507	655	325	1353
YGR120C	179	217	88	312
YNCG0031W	0	1	1	0
YGR121C	4169	2570	184	497
YGR121W-A	0	2	1	2
YGR122W	1650	1006	40	122
YNCG0032W	0	1	1	5
YGR123C	34	134	259	712
YNCG0033W	0	0	1	0
YGR124W	837	1574	594	1950
YGR125W	658	661	172	581
YGR126W	116	83	18	53
YGR127W	843	279	27	124
YGR128C	72	111	550	1758
YGR129W	533	396	84	227
YGR130C	5171	4763	62	266
YGR131W	193	133	10	33
YGR132C	2738	3142	121	521
YGR133W	469	415	35	147
YGR134W	195	163	76	250
YGR135W	1581	2299	174	740
YGR136W	2356	3797	179	690
YGR138C	283	633	666	2297
YGR140W	58	84	40	153
YGR141W	880	563	45	111
YGR142W	16211	51236	247	1853
YNCG0034W	0	0	0	0
YGR143W	848	459	169	451
YNCG0035W	0	0	0	0
YGR144W	21	30	3	26
YGR145W	148	357	659	1974
YGR146C	2620	1093	52	149
YGR146C-A	22	49	1	13
YGR147C	682	976	131	507
YGR148C	984	2493	2313	10234
YGR149W	1567	935	44	212
YGR150C	422	432	78	293
YNCG0036W	1	0	0	1
YGR152C	15	154	124	355
YGR153W	133	224	22	114
YGR154C	697	805	303	867
YGR155W	1599	2370	2041	5643
YGR156W	239	326	34	164
YGR157W	6260	6649	92	281
YGR158C	138	289	218	784
YGR159C	149	356	5495	16706
YGR161C	5950	2566	132	343
YGR161W-C	1186	830	29	78
YGR161W-A	0	0	0	0
YGR161W-B	0	0	0	0
YGR161C-D	0	2	0	0
YGR161C-C	0	0	0	0
YNCG0037W	0	0	2	1
YGR162W	369	1066	976	2703
YGR163W	344	322	89	306
YGR164W	2	5	3	7
YNCG0038C	0	0	0	0
YGR165W	203	725	113	433
YGR166W	105	120	62	255
YGR167W	1905	2477	114	509
YGR168C	338	249	67	259
YGR169C	25	82	68	241
YGR169C-A	298	164	224	971
YGR170W	545	561	46	237
YGR171C	90	191	7	86
YGR172C	200	388	68	287
YGR173W	256	271	253	989
YNCG0039W	0	0	0	1
YGR174C	1213	1130	14	79
YGR174W-A	26	9	0	1
YGR175C	2151	2035	1053	3627
YGR177C	56	44	53	210
YGR178C	2515	2489	326	1116
YGR179C	79	177	19	80
YGR180C	2247	2660	259	998
YNCG0040C	1	0	0	0
YGR181W	121	446	47	155
YGR183C	3098	3178	102	434
YGR184C	1604	1267	160	446
YGR185C	224	577	518	2281
YGR186W	1688	1485	234	805
YGR187C	77	148	511	1700
YGR188C	19	84	15	64
YNCG0041W	0	0	0	0
YGR189C	1198	1934	228	1988
YNCG0042C	0	0	0	0
YGR191W	157	349	792	2294
YGR192C	147078	123623	4592	16365
YGR193C	1558	1396	78	309
YGR194C	794	1388	14	57
YGR195W	301	354	211	824
YGR196C	327	356	87	251
YGR197C	306	354	20	77
YGR198W	169	463	207	606
YGR199W	139	311	40	194
YGR200C	219	366	375	1363
YGR201C	3630	1168	73	167
YGR202C	178	457	171	693
YGR203W	69	210	22	81
YGR204W	397	1013	213	705
YGR204C-A	41	40	1	1
YGR205W	385	337	5	24
YGR206W	266	198	36	139
YGR207C	320	1212	161	540
YGR208W	8	33	282	869
YGR209C	5045	5463	174	682
YGR210C	1151	1732	265	952
YGR211W	2137	8743	426	1560
YGR212W	80	100	19	55
YGR213C	20	34	8	30
YGR214W	1571	3920	2224	8313
YGR215W	178	469	57	253
YGR216C	231	259	89	312
YGR217W	317	239	54	156
YNCG0043C	0	0	0	1
YGR218W	2887	2198	354	1097
YGR220C	179	611	69	267
YGR221C	152	147	11	10
YNCG0044C	0	2	0	1
YNCG0045C	0	0	0	0
YGR222W	65	330	31	122
YGR223C	239	202	27	128
YGR224W	42	49	9	24
YGR225W	62	51	6	7
YGR227W	97	139	61	183
YGR227C-A	1	0	2	13
YGR229C	190	772	652	2075
YGR230W	491	305	21	65
YGR231C	3329	3189	104	411
YGR232W	351	544	40	148
YGR233C	764	926	62	262
YGR234W	940	3995	28	234
YGR235C	1146	1808	85	363
YGR236C	13116	1325	184	134
YGR237C	570	467	41	154
YGR238C	152	249	25	91
YGR239C	74	265	56	163
YGR240C	5003	4469	980	2821
YGR240C-A	11	16	14	37
YGR241C	148	258	77	324
YGR243W	4501	1782	286	1058
YGR244C	4538	6499	81	413
YGR245C	201	380	848	2520
YGR246C	959	863	73	245
YGR247W	207	272	3	30
YGR248W	3607	2066	36	86
YGR249W	903	1352	67	99
YGR250C	1538	5807	146	548
YGR251W	126	152	76	262
YGR252W	365	543	89	356
YGR253C	3367	4796	148	686
YGR254W	104232	84680	1841	4794
YGR255C	301	373	19	160
YNCG0046W	0	0	0	0
YGR256W	1734	250	32	57
YGR257C	99	231	38	145
YGR258C	663	529	111	353
YGR260W	391	540	293	716
YGR261C	83	245	57	226
YGR262C	319	482	74	260
YGR263C	250	217	26	76
YGR264C	150	248	828	2731
YGR266W	682	828	25	198
YGR267C	1069	1239	170	579
YGR268C	1002	776	46	153
YGR270W	1150	1274	110	425
YGR271W	266	372	55	192
YGR271C-A	400	137	304	910
YGR273C	1	1	0	0
YGR274C	492	481	87	283
YGR275W	558	405	53	157
YGR276C	322	485	111	286
YGR277C	49	112	83	301
YGR278W	189	180	58	215
YGR279C	1326	5127	256	997
YGR280C	1293	801	840	2788
YGR281W	1298	528	111	314
YGR282C	10197	11458	1202	3376
YGR283C	198	223	271	904
YGR284C	1510	1688	74	477
YGR285C	404	1870	1105	3634
YGR286C	207	535	42	197
YGR287C	1742	1056	49	128
YGR288W	487	304	34	115
YGR289C	13862	8626	168	274
YGR292W	3257	2339	48	107
YGR294W	7	2	3	0
YGR295C	622	524	24	67
YGR296W	0	2	0	0
YHL050C	157	195	10	35
YHL049C	0	0	0	0
YHL048C-A	0	0	0	1
YHL048W	107	141	15	38
YHL047C	557	406	33	57
YHL046C	4	2	1	5
YHL045W	1	1	0	0
YHL044W	52	29	1	16
YHL043W	112	53	8	21
YHL042W	87	65	6	13
YHL041W	0	0	1	3
YHL040C	842	888	238	259
YHL039W	391	305	284	965
YHL038C	30	104	18	85
YHL037C	4	0	0	0
YHL036W	134	117	52	103
YHL035C	530	756	19	82
YHL034C	5079	6066	140	653
YHL033C	648	2008	2279	10054
YHL032C	8694	16744	198	828
YHL031C	506	563	96	290
YHL030W	196	372	28	108
YHL029C	145	114	305	968
YHL028W	95	133	8	31
YHL027W	2290	1188	539	1679
YHL026C	62	88	57	240
YHL025W	642	703	74	233
YHL024W	692	419	11	19
YHL023C	374	454	69	249
YNCH0001W	0	0	0	0
YHL022C	79	104	4	17
YHL021C	1581	1466	26	72
YHL020C	3231	2062	190	471
YHL019C	293	353	31	98
YHL018W	9	14	3	8
YHL017W	86	159	87	296
YHL016C	114	218	31	134
YHL015W-A	18	9	4	7
YHL015W	1459	6688	5177	18809
YHL014C	59	66	54	196
YHL013C	85	182	148	572
YHL012W	78	38	48	240
YHL011C	576	719	825	2662
YHL010C	392	339	18	71
YHL009C	246	270	63	198
YNCH0002C	0	0	0	0
YHL009W-A	0	0	0	0
YHL009W-B	0	0	0	0
YHL008C	30	52	6	29
YHL007C	245	435	355	1127
YHL006C	68	61	18	54
YHL005C	7	12	8	30
YHL004W	125	479	141	528
YHL003C	114	288	86	399
YHL002W	1248	1454	176	593
YHL001W	697	853	1154	4628
YHR001W	757	980	35	177
YHR001W-A	7651	6255	109	455
YHR002W	202	284	42	150
YHR003C	291	445	170	694
YHR004C	714	700	36	154
YHR005C	63	65	12	53
YHR005C-A	181	762	79	410
YNCH0003C	0	0	0	0
YHR006W	1914	1321	219	708
YHR007C	1616	2708	1019	4211
YHR007C-A	209	186	2	21
YHR008C	21326	14492	298	991
YHR009C	1180	1474	327	1210
YHR010W	1091	2644	2645	10625
YHR011W	47	105	39	165
YHR012W	456	586	80	370
YHR013C	118	390	93	454
YHR014W	5	12	4	26
YNCH0004C	0	0	0	0
YNCH0005W	0	1	0	0
YHR015W	28	15	7	5
YHR016C	1345	1563	20	67
YHR017W	336	432	52	201
YHR018C	1727	2539	71	229
YHR019C	988	2345	627	2168
YHR020W	363	1117	806	2662
YNCH0006C	0	0	0	0
YHR021C	868	1979	1757	6686
YHR021W-A	11	4	95	405
YHR022C	25	9	209	1031
YHR022C-A	5	3	0	0
YHR023W	452	765	34	125
YHR024C	181	685	87	278
YHR025W	791	1185	249	952
YHR026W	712	836	290	1246
YHR027C	3083	3778	152	604
YHR028C	1865	1752	80	299
YHR029C	260	346	29	107
YHR030C	843	465	233	639
YHR031C	136	259	155	616
YHR032W	448	330	542	1912
YHR033W	1259	1026	192	1053
YHR034C	213	260	30	94
YHR035W	128	129	11	43
YHR036W	39	46	56	246
YHR037W	1866	2364	41	292
YHR038W	131	251	14	83
YHR039C	781	1223	237	844
YHR039C-A	1584	2104	427	2028
YHR040W	255	231	248	938
YHR041C	38	86	18	115
YHR042W	796	1400	206	735
YHR043C	226	593	16	105
YHR044C	128	249	25	84
YHR045W	161	207	99	363
YHR046C	39	239	323	1259
YHR047C	209	323	58	338
YHR048W	127	81	106	455
YHR049W	522	1779	3098	13056
YHR050W	635	703	87	421
YHR050W-A	613	493	12	67
YHR051W	5617	6750	127	546
YHR052W	181	296	1033	3623
YNCH0007W	0	0	1	3
YHR052C-B	0	0	0	0
YHR053C	0	0	0	0
YHR054C	0	0	0	1
YNCH0008W	0	42	2	412
YHR054C-B	0	0	0	0
YHR055C	0	0	0	0
YHR056C	215	337	58	193
YHR057C	948	766	82	301
YHR058C	206	252	68	277
YHR059W	174	366	47	191
YHR060W	431	578	41	194
YHR061C	31	15	20	77
YHR062C	185	366	91	374
YHR063C	39	86	173	501
YHR064C	1376	2319	1182	3778
YHR065C	61	192	478	1618
YHR066W	64	118	825	2908
YHR067W	388	395	41	165
YHR068W	151	470	475	1543
YHR069C	189	299	325	1098
YHR070W	85	191	178	587
YHR071W	466	513	603	2008
YNCH0009C	0	1	0	2
YHR072W	580	476	434	1615
YHR072W-A	968	1033	751	2883
YHR073W	564	798	117	464
YHR074W	1171	1012	107	394
YHR075C	142	135	13	72
YHR076W	220	714	32	207
YHR077C	1015	1070	334	1169
YHR078W	388	283	72	229
YHR079C	223	264	107	347
YHR079C-A	0	0	1	7
YHR080C	846	562	78	270
YHR081W	487	411	218	726
YHR082C	3443	2660	169	559
YHR083W	258	503	58	296
YHR084W	22	67	143	392
YHR085W	29	21	263	752
YHR086W	234	388	42	203
YHR086W-A	0	3	0	0
YHR087W	3552	4688	451	3930
YHR088W	461	594	558	1986
YHR089C	196	618	923	3458
YHR090C	354	568	132	413
YHR091C	184	184	57	171
YHR092C	1245	1519	271	653
YHR093W	2	6	2	12
YHR094C	133	101	5448	19263
YHR096C	23125	5372	546	1385
YHR097C	11161	6915	229	618
YHR098C	414	727	69	272
YHR099W	1013	1189	108	486
YHR100C	201	247	40	129
YHR101C	351	254	60	161
YHR102W	787	623	123	352
YHR103W	539	556	73	292
YHR104W	2099	3332	109	613
YHR105W	86	68	3	25
YHR106W	452	408	12	71
YHR107C	372	792	176	639
YHR108W	1121	1931	121	602
YHR109W	61	159	9	50
YHR110W	352	519	14	78
YHR111W	205	363	77	279
YHR112C	404	620	32	185
YHR113W	1486	1603	87	299
YHR114W	313	430	72	350
YHR115C	356	330	165	595
YHR116W	46	87	15	42
YHR117W	352	727	33	165
YHR118C	111	180	68	216
YHR119W	277	439	111	344
YHR120W	61	77	33	140
