gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YBL014C	296.145123327496	2.52476189991749	0.427046080913091	5.91215330795018	3.37664030124874e-09	1.94847115708511e-08
YDR119W-A	1766.32294401178	-3.56937228480814	0.60435099484355	-5.90612461179476	3.50249083791481e-09	2.01910323205384e-08
YDR435C	298.934171660801	-2.85590160797066	0.483577148716176	-5.90578280126067	3.50976138374184e-09	2.02130505649715e-08
YDR312W	391.96845518142	2.65441656925462	0.449798330978059	5.90134819638559	3.60543073059698e-09	2.07436225826193e-08
YOR120W	714.687056370598	-2.63121579665808	0.44595699100805	-5.90015595609439	3.63158135556442e-09	2.08735740917967e-08
YDL061C	2503.80205094617	2.50521305119626	0.42464392753812	5.89956170036452	3.64468463260425e-09	2.09283508756501e-08
YER020W	1787.19136256936	-2.58330791156345	0.438264832462278	-5.89439927691619	3.76046889777291e-09	2.15720532167052e-08
YER132C	240.380098084977	2.59815492279488	0.440801585035233	5.89415966502756	3.76592903830965e-09	2.15822371598626e-08
YDR256C	5147.01646835312	-4.44868054973869	0.754853951959566	-5.89343215093479	3.7825545475525e-09	2.16563264760655e-08
YHR036W	110.011102369402	2.94097174487973	0.499533105677097	5.8874411154259	3.92220845663652e-09	2.2433959893086e-08
YJR019C	832.744777208907	-2.71452916369102	0.461179486013563	-5.88605791457772	3.95515767403658e-09	2.26003497530071e-08
YOR019W	512.453584547519	-4.08485816231842	0.694480214406482	-5.88189278482098	4.05601059812056e-09	2.31540488042808e-08
YHR037W	726.259058897936	-2.70327750349695	0.459768048612407	-5.87965499485126	4.11122476010792e-09	2.34463908665551e-08
YOR020C	3039.4282764436	-2.59211291273853	0.440941147503113	-5.87859157036423	4.13771894123356e-09	2.35556508287976e-08
YOR206W	1510.79161499689	2.55643421691184	0.434873982866289	5.8785632565604	4.13842661820603e-09	2.35556508287976e-08
YGR111W	729.742710505908	-2.51260377223726	0.427474236513762	-5.87778995227558	4.15780024228698e-09	2.36429475913348e-08
YKL044W	101.804132985438	3.02275888409478	0.514369136472331	5.87663347149015	4.18693841782152e-09	2.37855463755389e-08
YML111W	187.126280012043	2.73215683055578	0.465033947773621	5.87517716423962	4.22391370391006e-09	2.39491409136507e-08
YMR084W	314.71243447685	-4.22426246262666	0.718988846597838	-5.87528232547044	4.22123307443044e-09	2.39491409136507e-08
YMR152W	1015.45713356247	-2.71041369011903	0.461508114137483	-5.87294915753442	4.2810980240118e-09	2.42498947066123e-08
YPR163C	2257.00342079011	2.41695486917896	0.412143559477536	5.86435190748308	4.50890309794386e-09	2.55155994634369e-08
YDR251W	438.408205560776	-2.53432098365457	0.432235478815976	-5.86328773981451	4.5379083685699e-09	2.56549510759787e-08
YNL195C	1368.56872386281	-4.36273175295845	0.744141130899955	-5.86277464287214	4.55195829268784e-09	2.57095657861839e-08
